agent-08,52.170.212.94,eastus
agent-09,52.179.181.92,eastus2
agent-22,13.91.95.233,westus
agent-06,52.165.235.125,centralus
agent-14,168.62.232.247,northcentralus
agent-16,13.84.43.90,southcentralus
agent-15,52.169.184.132,northeurope
agent-21,52.166.19.34,westeurope
agent-07,168.63.204.238,eastasia
agent-17,52.187.21.203,southeastasia
agent-10,13.78.30.164,japaneast
agent-11,138.91.28.19,japanwest
agent-01,40.126.254.41,australiaeast
agent-02,52.243.76.75,australiasoutheast
agent-03,191.232.186.14,brazilsouth
agent-04,52.233.32.210,CanadaCentral
agent-05,52.242.30.53,CanadaEast
agent-23,52.183.126.142,westus2
agent-20,52.161.21.162,westcentralus
agent-18,51.140.73.19,uksouth
agent-19,51.141.53.153,ukwest
agent-12,52.231.24.37,KoreaCentral
agent-13,52.231.196.98,KoreaSouth
