client-01,13.92.188.228,eastus
client-02,52.177.194.168,eastus2
client-06,104.45.227.31,westus
client-03,52.173.130.166,centralus
client-04,52.237.157.60,northcentralus
client-05,13.66.56.235,southcentralus
client-12,13.79.156.201,northeurope
client-13,13.93.89.166,westeurope
client-16,13.75.120.247,eastasia
client-17,13.67.115.168,southeastasia
client-18,13.73.25.25,japaneast
client-19,104.215.59.72,japanwest
client-22,40.126.249.244,australiaeast
client-23,52.255.51.82,australiasoutheast
client-09,191.232.166.28,brazilsouth
client-11,52.237.35.188,CanadaCentral
client-10,52.242.21.76,CanadaEast
client-07,52.191.138.170,westus2
client-08,52.161.103.87,westcentralus
client-14,51.140.62.191,uksouth
client-15,51.141.39.103,ukwest
client-20,52.231.27.16,KoreaCentral
client-21,52.231.207.55,KoreaSouth
